content;score;sentimen
potong pas top up alfamart nominal top up kelipat top up kirim otomatis saldo kurang tidak transfer nambah potong sisa uang tidak tarik tunai alfamart maksud gimana tau mending pakai ovo aja dah mending banking aja;1;Tidak Bisa Dipercaya
gimana sih topup dana banking bni hasil saldo bni udah potong tp aplikasi dana saldo gak chat ana gak suruh kirim bukti lampir dgn format eror teruslewat email gak gimana;1;Tidak Bisa Dipercaya
aplikasi udah bagus fiturnya lengkap mudah sayang limit bulan capai tidak transaksi terima transfer uang teman mohon dana limit bulan terimakasih;3;Tidak Bisa Dipercaya
aplikasi kalo transaksi masukin pin nya sy langgan instagram itu yg tidak langgan instagram kena potong tahu yg bener bijak nya;1;Tidak Bisa Dipercaya
tolong baik beli token nomor token tidak muncul transaksi tidak batal bikin rugi kak uang mudah cari;1;Tidak Bisa Dipercaya
alami sulit login lupa pin berkalikali verifikasi wajah gak hasil mohon bantu login ntar edit kalo menggunankannya terimakasih ga dipake langkah langkah saran hasil nihil;1;Tidak Bisa Dipercaya
biaya cicil ga pake cs ga hubung nomor kecewa klo ga yg telp info lambat mgkn ga tau cicil;3;Tidak Bisa Dipercaya
aplikasi dana tidak pakai datahanya pakai wifi sajasudah tidak bisadi hapus cachedi instal ulang tdk bisaterakhir bantu cs tidak memuaskansuruh hapus cache doangsungguh kecewa;1;Tidak Bisa Dipercaya
aplikasi curi uang sy sedot kali tulis bayar nila dlm rentan dr jam siang malam total an lapor ana yg tidak kunjung refund dana aplikasi tipu curi makan uang orang;1;Tidak Bisa Dipercaya
si apk dana tidak koneksi internet jaring stabil buka youtube aja apk tidak koneksi internet tf aja susah tolong baik donk kualitas nya biar konsumen nyaman ga pindah apk belah;2;Tidak Bisa Dipercaya
upgrade dana ga mulu dah nunggu ga upgrade pas upgrade bilang upgrade nya gagal mulu ktp;1;Tidak Bisa Dipercaya
udah jadi saldo potong transaksi yg tidak kenal udah komplain cs ana bayar lewat ferivikasi ga ngelakuin transaksi kalo liat aplikasi lindung gapernah ngelakuin transaksi trus kalo liat riwayat yg yg emang bener sya yg transaksi terang akse hp realme kalo transaksi yg tidak kenal ga terang akses;1;Tidak Bisa Dipercaya
developer ubah pin dana gk pake bluetooth masuk nya banget loding dana yg yg yg ganti pin sandi dana gampang banget langsung update apk dana ubah pin sandi dana susah banget hidup lupa sandi dana nya udah aktif bluetooth loading banget;4;Tidak Bisa Dipercaya
dana ngak lepas status premium susah ganti no hp susah hapus akun susah proses mutermuter tolong dana fitur ubah nomor hapus akun sedia dang yg mudah;1;Tidak Bisa Dipercaya
mesik data nya nyala normal buka app dana notif sambung data terputustidak transaksi apa mohon baik orang pake app dana;2;Tidak Bisa Dipercaya
bantu opsi opsi robot ana cs dana tidak suruh sambung cs asli muter muter kendala isi pulsa token saldo listrik sdh potong saldo kode token tidak muncul riwayat transaksi saldo sdh potong suruh transaksi eh pas cek dana blm gmna bantu nya parah bener cs bantu ampun;1;Tidak Bisa Dipercaya
sumpahbuat pake aplikasi dana transaksi bagus gak pake apk inikarena udah ngalamin top up rb gak masuk atm gak masuk saldonyapadahal struk atm ny saldo atm potong gak masuk saldo akun danajadi yg pake apk bagus henti aja ngalamin yg akuuninstal aja apk dana;1;Tidak Bisa Dipercaya
mudah kalo biarpun awal bayar admin nya sekian habis gratis tf murah note jngn sulit yah kalo bnyak yg pakai layan app terimakasih;5;Bisa Dipercaya
kali saldo potong aju kembali dana respon tolong motong motong dana kayak gitu verifikiasi langsung motong saldo kayak gitu biar gak kayak aplikasi tipu;3;Tidak Bisa Dipercaya
ratingnya bintang udah gamau pakai dana ga guna sekaliterlalu bodoh percaya saldo aplikasi dana saldo kurang ga transaksi apa yg lakukankatanya akun aman pakai mudah transaksi yg tuju pin;1;Tidak Bisa Dipercaya
berkalikali coba mengupgrade dana premium tidak data sesuai coba meupgrade aplikasi dompet digital tidak menit langsung tolong baik;1;Tidak Bisa Dipercaya
kesel apk inisering banget error ga kirim uangpadahal wifidata udah pakai aja ga bisadibilang intermet tidak sedia udah bbrp hhari nyoba aja ga;4;Tidak Bisa Dipercaya
top up bni mbanking saldo gk nambah kirim sukses tanggung devloper aplikasi rugi saldo tidak isi malam aplikasi sakit;1;Tidak Bisa Dipercaya
kecewa banget dana saldo kurang tidak transaksi tibatiba dapet notifikasi support cartoonmagicbox transaksi hasil tidak transaksi tidak buka situs;1;Tidak Bisa Dipercaya
aju ganti karna hp hilang syarat penuh harus nya dana layan adu versi whatsapp live chat robot tidak erti kendala alami;5;Tidak Bisa Dipercaya
apk rusak saldo bobol sulit pas clir lapor menu utama gk ad jelas gmna terus nya saldo hilang make ni apk tpi kecewa aman nya gk ketat;1;Tidak Bisa Dipercaya
salamhangat developer danamaaf transaksi token listrik status hasil tidak nomor tokenkarena teman slekyaa seberapanamun harga sayasecara pribadi kecewa serasa tipu ntah salah lainstatus transaksi hasil nomor token tidak terteramuat ulangdan uang tidak;1;Tidak Bisa Dipercaya
jelek minimal transferkirim minimal nya rb rugi hilang jdi tidak kirim saldo mesti dibutuhkandibawah minimal tolong banget hilang pribadi;1;Tidak Bisa Dipercaya
semenjak aktif akun bisnis saldo tidak pindah verifikasi wajah gagal pindah saldo akun dana pake verifikasi wajah has sampe saldo tahan ribet bank;1;Tidak Bisa Dipercaya
dana tidak bagusakun premium login dana kirim uang tidak cek profil akun premium gagal kali kirim uang tarik uangtiba akun premium gagal;2;Tidak Bisa Dipercaya
guna mending mendownload dana deh tar nyesel kaya hilang trus ntah mana sedot top up ga masuk trus menit langsung hilang ntah mana pokok guna mending download ni aplikasi deh ntar hilang saldo otomatis ga transaksi apa hilang;1;Tidak Bisa Dipercaya
upgrade dana premium ga kali pakai dana terang ktp pakai upgrade tidak verifikasi wajah sayang banget coba aplikasi gin hubung customer service penuh kasih bintang aja next kasih bintang;5;Tidak Bisa Dipercaya
tolong baik layan langgan tidak kabur dana kenal mudah cepat kali ganggu kemaren beli token listrik transaksi hasil tidak no token yg beli karna fitur aktifitas riwayat tidak buka jaring karna aman karna besok beli hasil token klo udh gagal masukin;3;Tidak Bisa Dipercaya
fiturnya lengkap cuman sayang akhir pakai apk dana masuk lumayan loading ya kadang butuh cepat akses bayar aja si lebih bagus;4;Bisa Dipercaya
update gak login akun verifikasi otp nomer tidak aktif daftar pake nomer aktif pemidahan akun saldo akun hilang tidak tindak buruk layan;1;Tidak Bisa Dipercaya
dah pake dana transaksi beli pulsa voucher listrik dll isi voucher listrik nomor token nya tidak muncul nya ga refresh kali kali lapor muncul nomor token nya mohon bantu nyaa;4;Bisa Dipercaya
apk nya bagussudah pakai ga hp apknya kali uninstalterus instal ga munculhp direstart berkalikali ga muncul;5;Bisa Dipercaya
overall bagus sih dana tuh cuman ya buka aplikasi ngeloadnya laammma pas transaksi gabisa ajak satset aplikasi haha bugsnya mohon baik berat;3;Tidak Bisa Dipercaya
aplikasi dana gabisa andal bangke iya saldo potong jajan minggu coba tempat pkl gada konfirmasi verifikasi kayak pin ilang coba kalo bikin aplikasi tuh ketat iya udah hilang saldo langgan gak wajar konfirmasi tahu moga developer sadar baik biar gak jebol udah kembang;1;Tidak Bisa Dipercaya
udah upgrade premium eh blg gagal pas mindahin blg tidak ganti nomor nomor yg nomor daftar dana make nomor data curi kah inidana ga amanbisanya kecewa adminnya feedback tanam sana;1;Tidak Bisa Dipercaya
kali kecewa berat dana uang abil transfer aplikasi google play tidak langgan tibatiba uang rp transaksi hasil gismart download aplikasi langgan tagih aplikasi dana potong langgan dalang jadi miris tidak tau uang aman dana binatanggggggg;1;Tidak Bisa Dipercaya
kesini aplikasi dana ribet login otp no nya hangus whatsapp tidak daftar pin verif muka otp gmna otp no nya hangus;1;Tidak Bisa Dipercaya
aplikasi gg rugi transver tidak nyaman lelet bner aplikasi bner gg jlas rugi klo dana uang udah gg buang nih apk sayang juta yg bikin kecewa uang gg kawan hati apk yg bobrok;1;Tidak Bisa Dipercaya
udah pakai dana kali masalah update ga tf pdhl kuota gede isi pas klik langsung muncul ups tidak koneksi internet versi chat cs aja ga;4;Tidak Bisa Dipercaya
guna dana yg udah gak kasih otp sandi akun aja saldo hilang sakit kali tolong tingkat lg aman udah moderen pakek digital;2;Tidak Bisa Dipercaya
ga kasih bintang nya save uang dana aman aja auto debit saldonominal yg lumayan transaksi merchant yg ga telusur inbox email ga pesan yg transaksi ga langgan merchant tsb;2;Tidak Bisa Dipercaya
kirim tidak detail kirim aktifitas pengirimanya jg tdk screenshot hasil kirim bukti update tolong bantuanya;5;Bisa Dipercaya
versi baru yg hilang menu reward tidak profil menu menu flash sale tidak muncul tolong baik guna nyaman fitur;1;Tidak Bisa Dipercaya
aplikasi tidak aman coba transaksi orang tidak otomatis blokir bobol hack orang pakai sistem banking coba gagal otomatis blokir tidak costumer service tangan komplain keluh;1;Tidak Bisa Dipercaya
saldo dana kuras tuk bayar yg tidak laku transaksi yg sama gimana solusi pakai aplikasi sdh sll aman tuk transaksi tp cek saldo dah habis tidak beli apa bayar apa dana ana gk jawab;5;Tidak Bisa Dipercaya
sumpah tidak aplikasi saat darurat bayar pending kembali saldo butuh aplikasi wallet bobrok layan aplikasi error hati transaksi heyyyy playing victim;1;Tidak Bisa Dipercaya
selesai transfer menu masuk sandi alhasil bom terinput sandi masuk sandi transfer sungguh sial bug aplikasi nya rilis;1;Tidak Bisa Dipercaya
abis top up skitar saldo hilang riwayat transaksi mytelkomsel padahall tidak transaksi apa kalo transaksi verifikasi wajah dululah hilang pemberitahuan apa;1;Tidak Bisa Dipercaya
terima kasih pda aplikasi aplikasi jadi saldo hilang transaksi tidak suksesaneh pdahal pakai pin transaksitapi transaksi sukses tahu raib saldo sayapdhal dana protection jamin saldo tidak jamin saldo;1;Tidak Bisa Dipercaya
diupdate habis transaksi gak bagi bukti struknya loading screenshoot fitur bagi bagus lambat;3;Tidak Bisa Dipercaya
aplikasi bagus manfaat baru ga layar atur aplkasi fungsi bantu;5;Bisa Dipercaya
upgrade dana premium ga sengaja arahin hp muka gagal tidak coba upgrade dana premium hubung customer service suruh tunggu menit habis coba tidak aman bagus rugi patut upgrade dana premium sulit mohon pertanggungjawaban transaksi sulit aman;2;Tidak Bisa Dipercaya
dana tolong masak tidak upgrade premium coba pakai ktp buram gak pakai dokumen sim isi data data kabupatenkota nya kab lombokkota surabaya data sesuai dokumen kabupaten malang tolong baik;1;Tidak Bisa Dipercaya
uda tolong ana gabecus suruh agent ngetik gabisa ngirim foto kasih tulis error uploading dana bikin customer nyaman make aplikasi ga si upgrade premium aja susah;1;Tidak Bisa Dipercaya
udah minggu akun dana kaga login pake jaring udah pake wifi rumah aja koneksisemua metode coba aja gak login saldo dana jaring ko sampe minggu minggu;1;Tidak Bisa Dipercaya
aneh banget update detail terima detail transaksi sembunyi mudah tipu edit bukti tf nya pas klik banget jaring lancar;1;Tidak Bisa Dipercaya
cs nya ga banget nih complain cari solusi ya coba complain ulang kali tetep aja hasil gada tuh solusi upgrade premium kaga knp woiii ktp fisik lu gua idup pake ktp ghoib tolong gua upgrade premium jan ribet in;1;Tidak Bisa Dipercaya
tolong adminya knpa ya pas masuk dana pake data tulis tidak inter internet masalah kuota pas pindah wifi bisatolong baik terima kasih;4;Tidak Bisa Dipercaya
parah bgt update sampe uninstal ga login gimana dana tolong baik udah dana premium jaring wifi bagus tp jd pas login guna dana kabur kalo loading aja sampe puyeng liat nya;1;Tidak Bisa Dipercaya
tolong tidak transaksiisi pulsa pakai data sinyal nya bagus aja buka aplikasi laindan aplikasi dana nya transaksi pakai jaring wifi;1;Tidak Bisa Dipercaya
tidak bagi bukti transaksi udah coba logout hapus instal ulang hapus cache aktifin izin dll tidak bagi bukti tolong baik developer aplikasi pakai hp iqoo android;2;Tidak Bisa Dipercaya
lapor aja susah hubung cs nya nomor whatsapp yg tuju tidak temu mohon utama layan customer service karna hubung by phone berat sedia pulsa telpon tidak pulsa minimal butuh pulsa ekstra orang berat tidak niat bantu konsumen gak bikin layan langgan;1;Tidak Bisa Dipercaya
udah tau kalo aplikasi transaksi uang smpe pemberitahuaniklan yg kadang kirim prakira cuaca kadang lebay bayang gak sih top up saldo dioutlet kmudian lega uda masuk krna ad pemberitahuan buka apk dana eh kecewa mas utuh masuk karna pemberitahuan iklan yg gak nada nya alam real tolol;1;Tidak Bisa Dipercaya
bisa saldo hilang kalidengan jarak singkat tolong tarik masuk akun saldo trimakasih karna tidak transaksi aman aja ya sampe tahun apk dana nih;1;Tidak Bisa Dipercaya
uang salah kirim tidak nomor tuju tidak aktif uang mana aplikasi dana tidak fitur otomatis kembali nomor tuju tidak daftar dana akalakalan cuan ya aplikasi uang kirim nomer yg tidak daftar danasalah ketik mikir pasang aplikasi aplikasi jamin aman uang;1;Tidak Bisa Dipercaya
aplikasi susah liat cek detail transaksi lot bgt ga baharu lot;1;Tidak Bisa Dipercaya
tolong min transaksi gitu aja isi saldo tiba saldo kurang transaksi tidak izin akun aneh banget aman aplikasi harap tidak;1;Tidak Bisa Dipercaya
uang lanjur masuk dana suruh upgrade premium diupgrade ktp pakai suruh pulih akun nomer cantum tidak daftar nomer telepon solusi uang tarik upgrade premium pulih;1;Tidak Bisa Dipercaya
upgret premium nggak tanggapisebelumnya transaksi lancar masuk saldo nggak transaksi upgrde ktp masuk premium pending yg sya laku;1;Tidak Bisa Dipercaya
bantu lancar tidak kendala beli pulsa listrik pln terkadang stok pulsa habis transaksi oke tidak hambat ganguan harap depan layan nya optimal tahan;5;Bisa Dipercaya
kecewa sekian pake dana akun nya bobol orang saldo ambil dana ngga bantu balikin saldo sistem aman nya ngga percaya ngga lagi deh pake dana;1;Tidak Bisa Dipercaya
ya icon aplikasi tidak muncul menu pas cari playstore terang langsung buka aplikasi aplikasi terinstal pas klik buka aplikasi otomatis masuk akun;3;Tidak Bisa Dipercaya
aplikasi urgent susah masuk lambat buka hilang layan yg dalam masuk akun transaksi tolong baik layan nya masuk transaksi tidak hambat;3;Tidak Bisa Dipercaya
sekian ewallet indonesiahanya dana susah upgrade premium ewallet ovogopay shopeepay upgrade tidak belit belit ewallet dana rating wakil kecewa kelola dana;1;Tidak Bisa Dipercaya
tolong baik mengguanakan dana viz otp kasi yg kartu nya tidak pakai gak terima kode otp tolong baik pakai dana viz kode otp bikin susah login dana transaksi tolong baik terima kasih;2;Tidak Bisa Dipercaya
apk bug nya login akun abis masuk nomer verifikasi wajah eh masuk nomer sadah coba berkalikali berharihari tetep apk nya versi baru tolong baik bug nya sinyal pada kali notifikasi sinyal tidak pada apk aneh nih;1;Tidak Bisa Dipercaya
riwayat simpan tidak konsisten ecek november riwayat januari milik bukti transaksi desember buka aplikasi iklan pop up menganggu aplikasi transaksi;2;Tidak Bisa Dipercaya
kirim uang jaring bagus buang koneksi tidak transaksi kalo udah gak nampung apus aja apk nya kaga nambah berat;1;Tidak Bisa Dipercaya
keritik dana semenjak aplikasi data pribadi tidak aman aman dana minim pin nomer nama keluarga verivikasi wajah tolong tambahin aman kali kena hack aman minim saran dana tambah aman sandi google pin gpp hacker sulit bobol dana;2;Tidak Bisa Dipercaya
saldo hilang tidak transaksi apa akun hubung xendit transaksi provider axis tidak transaksi tidak provider axis jamin aman mudah retas mohon kembali uang;1;Tidak Bisa Dipercaya
apk ga upgrade premium sulit ktp nya baca pas upgrade gagal udah masukin data sesuai ktp nyasaran kalo ktp nya kasih fitur ulang foto biar ga susah kek ginii;1;Tidak Bisa Dipercaya
transaksi tuju milik uang hilang bayar tidak play pass tidak langgan play pass baik transaksi otomat pin uang tidak aman;1;Tidak Bisa Dipercaya
gak aplikasi suruh upgrade premium kirim data upgrade hasil uang tahan apikasi gak transfer telfon cs nya kali minggu gak hasil alas tunggu lahterus tambah ubah;1;Tidak Bisa Dipercaya
woi tidak masuk akun nomor daftar dana tidak sandi tidak lupa yah guna scan wajah laku kirim otp nomor daftar akun foto ktp scan wajah dana ribet ngalami kendala uang puluh juta dana;1;Tidak Bisa Dipercaya
dana suka hilang gajelaskomplain bilang aman sesuaitransfer gajelas siapa gapernah transfer kecuali beli pulsatiba banget suka kena transfer link spamjika komplain alas aman udah sesuai gabisa;1;Tidak Bisa Dipercaya
nomor yg premium pakai nomor ganti nomor rencana upgrade premium ikut syarat admin yg estimasi minggu gak tanganin;2;Tidak Bisa Dipercaya
aplikasi percaya bayar tagih jatuh tempo merchant merchant tidak terima pemberitahuan apa transaksi bayar hasil status pending order dana tagih bayar customer tidak jadi riwayat transaksi bukti bayar tagih urus lapor kendala bilang ahh iya dana rekening antara maaf;3;Tidak Bisa Dipercaya
pake aplikasi dana gak kirim uang kouta baca koneksi putus udh upgrade gak nyaman mah kasih bintang kalo pake wifi lancar aneh kalo pake data pribadi gak koneksi putus mulu parah mah gak enak pakai;2;Tidak Bisa Dipercaya
layan tanggung nya bagus isi saldo brizzi saldo tidak masuk bantu arah admin aktif saldo tpi aktif saldo tidak admin screenshot mutasi kartu brizzi kasih screenshot nya tunggu proses tidak proses selesai saldo tidak selesai admin ehh prosesny bosen aplikasi nya bagus cma pusat bantu tdk selesai sya;1;Tidak Bisa Dipercaya
waspada guna aplikasi danahari jumattgl okt transaksi transfer bank brisblm transaksi berita aplikasi dana pin salah dr pin tdk rubahkarna salah ulang pin tersebuttiba pmberitauankoneksi burukselah tunggu smpai koneksi membaiktdk pemberitahuan transaksi berhasilsaya kagetko saldo potong transaksi sya sda rek nama trsebut;1;Tidak Bisa Dipercaya
aplikasi mbantu pasang daya listrik apliksi tesponnya tidak calo klo apk jangkau;5;Bisa Dipercaya
gimn si min upgrade dana premium aja susah nya mudah cs nya ga chat cs udah bales orng selesai ngomong udah tinggalin trs upgrade pake sim eror;5;Bisa Dipercaya
ya tf login koneksi putus wifi bagus mohon baik dana yth nya ribet tf login pake wifi jaring bagus koneksi terputua;3;Tidak Bisa Dipercaya
gak isi pulsapaket dipaksain ya alas kendalakendala to the point aja transaksi gagalin aja alas transaksi aplikasi dana sukses cek paket kartu masuk kecewa banget jadi kaya gin jadi kaya gin sayang gak lampir foto bukti susah membuktikannnya;1;Tidak Bisa Dipercaya
izin kasih saran min ganti nomor yg premium nomor yg blokir aja nomor ilang tidak terima pesan min supa tidak terima isi saldo izin terima saldo susah nomor ilang ganti tunggu butuh nya desak baik;5;Tidak Bisa Dipercaya
koneksi putus trus min jaring kenceng nonton film lancar aja gada buffering transaksi dana slalu koneksi putus;5;Tidak Bisa Dipercaya
ni uda lgi apk dana skg saldo kurang gmna ni prtangung apk tidak kirim dn data kirim nya jga tidak kurang kayak prcumah komentar apk suka pakai apk tpi knapa tidak jelass saldo kurang transaksi bgni;4;Bisa Dipercaya
aplikasi uang tidak becus saldo tidak login saldo tidak gpp tidak login aplikasi sampah benarbenar parah aplikasi lai bagus rb duit gua hilang banget gua karyawan dana kerjasama hacker gua kirim email help dana chat masuk wa cs dana tau email cs dana memanng apliksi babiiiiiiiii download uang ga lenyap;1;Tidak Bisa Dipercaya
bayar listrik gagal duit ga ga pemberitahuan dapet surat cinta pln aneh riwayat transaksi gak bayar pas chat cs riwayat nya gak id transaksi refund susah gila;1;Tidak Bisa Dipercaya
dana milik pakai jaring wifiquata data bukti transaksi gak bagi sampe tanggal tetep gak ubah dana pakai kalo wifipakai data seluler gak gak perbaikanmaaf kecewa;2;Tidak Bisa Dipercaya
ya kalo transfer ga ganggu koneksi paket pake wifi kaga transfer aplikasi kalo bayar cicil agen dekat pungsi dana memprmudah bayar angsur apaun karna nya kendala suka macetmacet transaksi bayar cicil susah agenagen hemm tolong dana aperbaikan siatem nya;5;Bisa Dipercaya
gak premium akun udah hubung cs ga solusi ga balas jelek aplikasi nya uang situ gimana cairinnyadi premium jg ga aplikasi jelek gak guna ga kasi solusi buruk;1;Tidak Bisa Dipercaya
dana jd gak ya beli quota udah proses transaksi bank pending gak kayak transaksi bayar kalo gak ya gitu pending mulu percaya dg dana lebih bank aangat mudah bertransaki kayak bagus si orange;5;Bisa Dipercaya
min tolong atas bug sebab koneksi internet putus buka aplikasi dana internetnya setabil lancar buka aplikasi pake wifi buka aplikasi dana;4;Tidak Bisa Dipercaya
ya tarik saldo dana bisnis dana ga alas verifikasi wajah gagal tidak muncul verifikasi wajah udah komplain cs jawab template tidak bantu komplain live chat cuman suruh isi formulir sampe tetep ga;3;Tidak Bisa Dipercaya
eror ganti nomorlalu ganti deteksi aktifitas tidak transaksibahkan event dana tidak eror sia simpan saldo gak pake;2;Tidak Bisa Dipercaya
mohon bantu gak masuk dana lancar aja diupdate uninstall download tetep koneksi putus jaring bagus dipake maen ml lainlain;1;Tidak Bisa Dipercaya
aplikasi bagus tidak kirim uang teman uda premium mohon solusi aja pindah hp tidak lgi kirim uang teman mohon solusi ny;1;Tidak Bisa Dipercaya
atas tibatiba tagih google transaksi tidak langgan apaapa cek ulang kali tidak temu langgan mohon bantu pakai dana bagus kendala ketidaknyamanannya pakai dana tibatiba tagih tidak;4;Bisa Dipercaya
nyesel bgt download dana saldo juta tahan ga upgrade dana premium karna lupa daftar nomer dana premium skrg daftar nomer saldo ga upgrade saldo tahan chat cs jg susah blm selesai bicara keluh sdh tinggal pesan tolong dana sulit duit obat;2;Tidak Bisa Dipercaya
ganti akun nomor kirim link konfirmasi minggu pemrosesan tidak link konfirmasi timbun kedaluwarsa tidak pakai metode sms otp guna udah malas hubung cs ulang kali kerja lambat verifikasi guna aplikasi payah;1;Tidak Bisa Dipercaya
tolong baik ya aplikasi dana nya buka aplikasi dana pakai data enggak koneksi aplikasi nya kuota wifian biar buka aplikasi dana lancar tolong baik pakai data enggak koneksi kuota aplikasi bagus banget ya gitu ngereting aja jelek koneksi;3;Tidak Bisa Dipercaya
kasih bintang pindah akun premium ga pemberitahuannya pindah akun dah minggu tuk pindah akun cepat proses akun premium;3;Tidak Bisa Dipercaya
uang hilang gak tau dana juta langsung hilang cek riwayat transaksi gak ga top up;1;Tidak Bisa Dipercaya
dana tidak bantu nasabah lapor masalah tidak kunjung selesai tidak tanggap ngomongnya mah prioritas omong kosong doangsudah aplikasi lelet cuihh;1;Tidak Bisa Dipercaya
layan jelek bangetttt ganti nomor gak aktif sulit ampun biar ya bahaya nomor didaurulang data pikir tolong lapor mei gak gubris proses minggu lapor ulang gada progres chat ana dm instagram email mohon tunggu tidak tangan kecewa jelek;1;Tidak Bisa Dipercaya
isi tp masuk uang dana hilang potong tolong admin apa beritahukan bayar tbtb motong ga trusted;1;Tidak Bisa Dipercaya
kecewa layan bayar langgan tidak notifikasi tagih otomatis ingat konfirmasi rugi bayar langsung proses tuju langgan harap transparansi pemberitahuan kait baru langgan libat uang ketidakhadiran notifikasi tidak kurang profesionalisme;1;Tidak Bisa Dipercaya
udah kali uang hilang dana ga langgan aplikasi mana ga tau org password dana kecuali sndri aneh transaksi pasu pin emg ga dipercayaaa aplikasi dana bad skliiiiii;1;Tidak Bisa Dipercaya
bug dn tidak stabil kirim iklan gk bikin lot coba depan baik lg;1;Tidak Bisa Dipercaya
update buruk wifi lancar jaya apk belah lancar gilir isi saldo dana aj jaring erorr udh instal ulang parah ngisi nomer hp jaring erorr gbs masuk akun saran yg ngalamin yg mending uninstal aj ni apk gajelasss;1;Tidak Bisa Dipercaya
teman hati pakai aplikasi bank digitalkhusus nya danabukan orang hilang saldo nyatermasuk sayajadi pakai lagigak bikin lapor saldo hilanglebih aman pakai brimokalo hal brimobisa lapor bank bri terdekatkalo dana gak saldo;1;Tidak Bisa Dipercaya
jujur kecewa simpan tabung aplikasi dana tabung juta hilang tidak transaksi kode otp masuk pas tidak megang hp tahu jam stlh otp masuk karna buka hp complain ngirim email chat ana dana ga hasil dana tidak tanggung uang kecewa pakai aplikasi dana;1;Tidak Bisa Dipercaya
layan buruk hilang nomor dana yg ganti nomor yg pasword lupa hambat halang trus hapus akun hambat halang nomor akun halang hapus akun hak wajib yg akun udah ngantri mala ngulang main gimana layan tidak aplikasi keuanggan yg mudah proses cepat;1;Tidak Bisa Dipercaya
kesini ngeselin transaksi susah kalo ad tf an banget masuk nya banget gagal sinyal bagus pakai wifi ad susah lapor nya bikin males gx laku ni;1;Tidak Bisa Dipercaya
parah banget sih top up kartu elektronik tol kali tidak satu masuk saldo terang hasil kecewa sih pakai dana saldo potong aplikasi rusak;1;Tidak Bisa Dipercaya
tolong developer ketat bayar otomatislangganan hilang uang tibatiba bayar otomatis verifikasi menggangu rugi;3;Tidak Bisa Dipercaya
bantu saran dikit coba bayar hilang checklist asuransi yg ga biar guna tua tidak slalu colong ga butuh polis abal abal yg suka curi uang tahu lebih aplikasi dana pakai mana terima trf darimana makasih;5;Bisa Dipercaya
guys buru uninstal aplikasi duit gw tahan ga transfer alas transfer server sibuk gw chat cs nya uda nunggu antri posisi bs chat cs nama khilian eh gw ngetik menit si cs mutusin contact gw uda menit ga feedback paraaah moga bangkrut deh cepet dana nya pilih dompet digital tinggal apps guys;1;Tidak Bisa Dipercaya
saldo dana gua hanguss diatasii akun dana gua beku transaksi gua tolak alas aman udah saldo gua hangus ehh pas udah top up lagi gk dipakee hadehh gimana sih tangan nya mo bandingin tapi gopayy nan transaksi yg lambat kompensasi dana blokir akun dana guaa nyesel gua pake dana mending gopayy yg promo nya aman nya;1;Tidak Bisa Dipercaya
apk nya udah bagus bug mana masuk apk dana data seluler jaring internet terputustapi pakai wifi tolong developer dana baik bug sekian terimakasih;3;Tidak Bisa Dipercaya
kecewa kali isi ulang paket data apk masuk aneh kalo pulsa reguler baik layan guna tidak kasih;2;Tidak Bisa Dipercaya
kasih bintang transaksi token gagal saldo potong bebrapa tulis proses trs bantu cm suruh nunggu nya pesan otomatis jamin hoak hati hati aja kalo transaksi kalo pending beli token saldo ga;1;Tidak Bisa Dipercaya
update bagus jelek delay kadang notif kadang nggak ganggu harap baik aplikasi kembang;2;Tidak Bisa Dipercaya
main tidak cs manusia utk hubung hemat biaya ya bayar dilazada pakai no pin saldo langsung cut aplikasi yg bayar nya masuk no pin potong;1;Tidak Bisa Dipercaya
bagus sih cuman tidak cocok shopping war bagus daily tidak cocok war lancar cepat proses transfer langsung servernya ganggu moga depan bagus ku bintang;4;Bisa Dipercaya
asli ni aplikasi berat bangetttttt sampe relog kali kali tetep aja pikir karna sinya buka plikasi lancar aja bener bener baik ngga android friendly bgtttttt sbeenernya suka pake dana luemotnya ampun pas buka apl nya;1;Tidak Bisa Dipercaya
tidak isi saldo dana pakai kartu atm tulis yah orang transaksi tunggu menit tunggu ampe besok tetep gabisa hebat aplikasi inisaat coba aplikasi gopay pengisisn pakai kartu atm dana gabisa hebat dana hebat;1;Tidak Bisa Dipercaya
update ulang gak buka tolong baik sistem bintang maaf kasih bintang dana buka ulas dapat dana sekian terima kasih;1;Tidak Bisa Dipercaya
udah transfer saldo dana kurang transaksi gak masuk rekening tuju cek mutasi dana gak masuk parah proses cepat;3;Tidak Bisa Dipercaya
premium hubung nomor dana nya udah ga aktif kalo log in verifikasi wajah kode otp udah tau nomor dana nya udah ga;1;Tidak Bisa Dipercaya
kali pakai dana colong tahun pakai dana aman pilih dana kali saldo hilang riwayat transaksi tulis beli belanja tidak transaksi tsb bagaimama lolos sistem verifikasi transaksi hasil butuh verifikasi wajah pin sidik jari komplain cs jawabannga tidak puas;1;Tidak Bisa Dipercaya
oke moga apk dana lagi sudah update versi baru kok tidak internet ya data tidak pakai nya internet putus kalo netring teman buka transaksi malu maluin aja;5;Tidak Bisa Dipercaya
kak hp pecah tidak buka apk dana dwonload apk dana hp satu mendaftarkanya gak transaksi transaksi henti tolong sara kak;3;Tidak Bisa Dipercaya
buka apk nya muncul koneksi putus jaring stabil normal banyak tidak buka pake jringan sendiriklo pake wifi orang buka;5;Tidak Bisa Dipercaya
dana burukk bug transfer tidak karna koneksi tidak mulu jaring udh restart hp msih aja;1;Tidak Bisa Dipercaya
